City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Oistins,BB,2022-02-03 03:39:10,13.0667,-59.5333,77.09,78,40,18.41
172,Bac Lieu,VN,2022-02-03 03:34:15,9.285,105.7244,85.12,63,75,17.4
173,Pacific Grove,US,2022-02-03 03:39:10,36.6177,-121.9166,55.42,43,0,3.0
174,Natal,BR,2022-02-03 03:37:59,-5.795,-35.2094,80.82,83,20,8.05
175,Togur,RU,2022-02-03 03:39:11,58.3631,82.8265,11.53,93,100,9.15
176,Valdivia,CL,2022-02-03 03:39:11,-39.8142,-73.2459,55.49,97,14,1.68
177,Haputale,LK,2022-02-03 03:39:11,6.7681,80.9595,64.99,73,60,3.51
178,Qaqortoq,GL,2022-02-03 03:39:12,60.7167,-46.0333,7.3,59,100,17.98
179,Yarmouth,US,2022-02-03 03:39:12,41.7057,-70.2286,41.97,96,100,5.75
180,Erzin,TR,2022-02-03 03:39:12,36.9559,36.2,48.72,73,45,11.65
181,Cobija,BO,2022-02-03 03:39:13,-11.0267,-68.7692,71.13,99,95,2.73
182,Khandbari,NP,2022-02-03 03:39:13,27.3747,87.2039,56.61,58,52,3.02
183,Hobart,AU,2022-02-03 03:40:13,-42.8794,147.3294,64.26,62,20,1.01
184,Katsuura,JP,2022-02-03 03:37:20,35.1333,140.3,50.04,44,100,3.24
185,Nuuk,GL,2022-02-03 03:40:14,64.1835,-51.7216,18.21,62,40,17.27
186,Arrecife,ES,2022-02-03 03:40:14,28.963,-13.5477,69.78,52,90,5.75
187,Hilo,US,2022-02-03 03:37:28,19.7297,-155.09,74.93,79,100,8.05
188,Volot,RU,2022-02-03 03:40:15,57.9278,30.7025,17.33,98,100,0.58
189,Henties Bay,NA,2022-02-03 03:40:15,-22.116,14.2845,65.86,85,1,4.94
190,Sept-Iles,CA,2022-02-03 03:36:14,50.2001,-66.3821,29.05,95,100,3.0
191,Anadyr,RU,2022-02-03 03:40:15,64.75,177.4833,12.7,72,0,38.03
192,Meybod,IR,2022-02-03 03:40:16,32.2501,54.0166,41.02,39,0,3.36
193,Trinidad,BO,2022-02-03 03:40:16,-14.8333,-64.9,73.0,98,32,3.65
194,Mazagao,BR,2022-02-03 03:40:16,-0.115,-51.2894,78.85,98,100,2.82
195,Atocha,BO,2022-02-03 03:40:17,-20.9333,-66.2333,47.17,84,29,6.71
196,Nizhniy Odes,RU,2022-02-03 03:40:17,63.6445,54.856,21.72,96,100,6.2
197,Pisco,PE,2022-02-03 03:40:17,-13.7,-76.2167,68.05,83,0,11.5
198,Nanortalik,GL,2022-02-03 03:40:18,60.1432,-45.2371,18.99,79,100,11.97
199,Komsomolskiy,UZ,2022-02-03 03:40:18,40.4272,71.7189,33.22,86,92,2.3
200,Lagoa,PT,2022-02-03 03:40:18,39.05,-27.9833,57.31,73,2,2.13
201,Bathsheba,BB,2022-02-03 03:40:19,13.2167,-59.5167,77.61,78,40,18.41
202,Arilje,RS,2022-02-03 03:40:19,43.7531,20.0956,39.56,98,100,4.54
203,Geraldton,AU,2022-02-03 03:38:26,-28.7667,114.6,102.61,12,1,25.32
204,Tabas,IR,2022-02-03 03:40:20,33.5959,56.9244,44.73,40,0,0.76
205,Faya,SA,2022-02-03 03:40:20,18.3851,42.4509,51.91,69,73,2.15
206,Juneau,US,2022-02-03 03:40:20,58.3019,-134.4197,27.21,91,100,6.91
207,Luderitz,NA,2022-02-03 03:40:20,-26.6481,15.1594,67.08,80,58,5.14
208,Nemuro,JP,2022-02-03 03:40:21,43.3236,145.575,28.83,65,7,6.58
209,Mlowo,TZ,2022-02-03 03:40:21,-9.0,32.9833,59.34,95,100,2.71
210,Mournies,GR,2022-02-03 03:40:21,35.4764,24.0092,47.82,87,40,0.0
211,Forestville,US,2022-02-03 03:40:22,38.8451,-76.875,44.69,86,0,5.75
212,Roma,US,2022-02-03 03:40:22,43.2128,-75.4557,42.66,67,100,6.91
213,Camargo,MX,2022-02-03 03:40:22,27.6667,-105.1667,53.8,47,100,17.13
214,Singkang,MY,2022-02-03 03:40:23,2.1006,102.7994,85.89,53,29,3.91
