City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Kapit,MY,72.55,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
639,Bulawayo,ZW,66.24,few clouds,-20.15,28.5833,4 On Housman Backpackers
640,Basco,PH,72.37,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
641,Beloha,MG,74.75,scattered clouds,-25.1667,45.05,
643,Constitucion,CL,64.24,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
644,Sur,OM,69.51,clear sky,22.5667,59.5289,Sur Plaza Hotel
646,Mbandaka,CD,74.66,overcast clouds,0.0487,18.2603,Guest House Epervier
648,Ampanihy,MG,71.94,scattered clouds,-24.7,44.75,Angora Hotel
649,Abha,SA,55.65,clear sky,18.2164,42.5053,Abha Hotel
650,Hambantota,LK,73.0,few clouds,6.1241,81.1185,Bungalow 63
653,Kingaroy,AU,68.04,clear sky,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
654,Inongo,CD,74.75,overcast clouds,-1.95,18.2667,Hotel Du Lac
657,Sindi,IN,58.12,broken clouds,20.8,78.8667,Vaibhav Kudmati
662,Porbandar,IN,65.19,clear sky,21.6422,69.6093,Lords Inn Porbandar
664,Balkanabat,TM,53.29,broken clouds,39.5108,54.3671,Nebitchi Hotel
669,Butembo,CD,62.49,overcast clouds,0.15,29.2833,Hotel Butembo
680,Carcassonne,FR,54.32,broken clouds,43.25,2.1667,Domaine les Magasins
682,Evans,US,62.76,moderate rain,33.5337,-82.1307,Evans hide out
684,Darnah,LY,52.9,clear sky,32.767,22.6367,فندق الفردوس
690,Yen Bai,VN,55.8,overcast clouds,21.7,104.8667,AK MOTEL
694,Aripuana,BR,74.93,overcast clouds,-9.1667,-60.6333,
695,Camana,PE,72.01,broken clouds,-16.6228,-72.7111,Hostal Morales
697,Tura,IN,51.17,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
698,Launceston,AU,66.79,broken clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
701,Najran,SA,65.52,clear sky,17.4924,44.1277,محمد هادي ال فطيح
702,Maracacume,BR,73.99,overcast clouds,-2.0428,-45.9592,Hotel Ramos
704,Hualmay,PE,72.52,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
708,Rio Gallegos,AR,62.65,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
710,La Palma,US,73.53,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
713,Zemio,CF,74.46,overcast clouds,5.0314,25.1361,OCHA Office
718,Lai,TD,72.88,scattered clouds,9.3952,16.2989,
722,Zhuhai,CN,57.97,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
727,Teguise,ES,64.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
729,Waitati,NZ,57.79,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
730,Camalu,MX,67.42,clear sky,30.85,-116.0667,La Cueva del Pirata
738,Bintulu,MY,74.25,overcast clouds,3.1667,113.0333,900 Boutique INN
